image_path,reference,infer,reference_tokens_jieba,infer_tokens_jieba,reference_tokens,infer_tokens,BLEU1,BLEU2,BLEU2s,BLEU3,BLEU3s,BLEU4,BLEU4s,METEOR,R-1R,R-1P,R-1F,R-2R,R-2P,R-2F,R-LR,R-LP,R-LF,jiebaB1,jiebaB2,jiebaB2s,jiebaB3,jiebaB3s,jiebaB4,jiebaB4s,jiebaM,jiebaR-1R,jiebaR-1P,jiebaR-1F,jiebaR-2R,jiebaR-2P,jiebaR-2F,jiebaR-LR,jiebaR-LP,jiebaR-LF,grs
D:\code\vit-gpt2\bigdata\geoimage_data\geo_940.png,遥感影像图和地质解译,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_628.png,表性锆石阴极发光影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1891.png,花岗岩的野外产状及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1068.png,岩体的锆石照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1067.png,花岗岩的镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_109.png,岩体黑云母,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_598.png,花岗岩的宏观组构特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1428.png,花岗岩的野外及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_759.png,增生杂岩露头典型照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1242.png,变质辉长岩样品的锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1652.png,自然金共生碲化物元素扫面图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_382.png,不同岩石单元岩石薄片的显微镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1670.png,片麻岩穹窿内花岗片麻岩的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_942.png,含矿矽卡岩产出特征与结构构造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1896.png,辉长岩包体和矿物聚晶的显微结构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1304.png,碳酸岩样品的扫描电镜照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1210.png,构造面理特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_614.png,岩石的野外照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1402.png,铜矿青磐岩化及绢英岩化蚀变矿物显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_743.png,杂岩的野外和镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_792.png,碳酸盐岩储层段均方根振幅属性分析图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_427.png,矿化特征镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_570.png,岩体锆石图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_270.png,野外的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_618.png,似斑状花岗岩和中锆石的阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1625.png,表性金属矿物背散射照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1947.png,变形斜长角闪岩野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1259.png,伟晶岩的典型样品照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_943.png,含矿矽卡岩结构构造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_756.png,侵入杂岩体的镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1934.png,蛇纹石片岩基质中包卷的枕状玄武岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_237.png,碲金矿和产状及其共生关系图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1760.png,断裂岩显微构造样品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_220.png,白云化作用的产物和演化过程图谱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_745.png,典型流纹质岩石岩相照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1353.png,辉绿岩的野外和镜下显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1083.png,花岗岩野外和显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1511.png,辉绿岩脉锆石阴极发光图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_630.png,硅质岩蚀变围岩和矿石岩相学对比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1403.png,方解石脉的体野外宏观构造特征及采样位置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_256.png,花岗岩的显微镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_351.png,构造样式的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1703.png,橄榄岩的野外露头照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_247.png,岩体的特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_23.png,野外流纹岩的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1679.png,花岗片麻岩和淡色花岗岩显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_63.png,岩相特征的图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1280.png,水平层状的智利侵入体据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1229.png,英安岩中锆石图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1780.png,外带石英脉型黑钨矿白钨矿矿体特征照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1111.png,碳酸岩的野外照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1564.png,地层特征和典型沉积构造野外照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_538.png,岩体锆石阴极发光图像和年龄值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1423.png,岩石的野外与镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1688.png,侵入杂岩体的野外照片和显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_555.png,不整合型构造典型地质照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_964.png,矿石结构和主要组成矿物显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1781.png,黑钨矿与白钨矿共生特征照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_907.png,碱性铀矿化与铅锌银矿化叠加特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_100.png,花岗闪长岩的锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1537.png,花岗闪长斑岩正交偏光显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1895.png,杂岩的宏观构造现象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_298.png,白云岩中的流体包裹体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1938.png,宏微观构造变形特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1078.png,火口内缘基浪堆积的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1407.png,紫苏花岗岩的岩相结构特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_331.png,样品左和右锆石的阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1852.png,地貌的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1706.png,断层的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1161.png,花岗质岩石野外露头及显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1907.png,水热活动的特征照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_572.png,地质剖面地层岩性显微特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_692.png,榴辉岩和蓝片岩中发育的脉体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_115.png,重晶石中的簇状单液相包裹体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_591.png,砂岩野外及显微镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1378.png,碎屑扫描电镜照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_212.png,地质特征照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_772.png,海域片麻岩岩石类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1826.png,花岗岩的样品照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1935.png,矿物共生组合及矿脉穿切关系照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_990.png,中基性杂岩野外特征及显微特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_886.png,变泥质岩矿物组合及剪切变形构造特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1338.png,岩石矿石镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_576.png,变质核杂岩典型显微变形特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_324.png,变质辉长岩的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_173.png,巨厚流纹岩层照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_841.png,脉系手标本照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_416.png,花岗岩典型照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1234.png,矿体的显微结构照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1226.png,花岗岩和辉绿岩的显微镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1783.png,内脉带石英脉云英岩型矿化岩芯照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_733.png,含矿二长花岗斑岩显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_78.png,流体包裹体产状的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1831.png,黑石岗矿石及岩体样品及其显微镜照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1271.png,混杂带野外露头照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_32.png,麻粒岩捕虏体的结构特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_922.png,岩和闪长岩野外和显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_233.png,程潮铁矿典型的矽卡岩矿物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1220.png,组砂岩和砂岩镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1052.png,花岗岩的野外露头及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_124.png,矿石构造的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_720.png,辉绿岩的镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_344.png,岩墙和围岩的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_163.png,地质的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_203.png,岩石组构及矿物组成特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1777.png,绿泥石矿物镜下及光谱特征曲线图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_679.png,野外矿化变形特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1281.png,剪切变形的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_631.png,硅化灰岩蚀变围岩和矿石岩相学对比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_49.png,表性岩浆的锆石背散射电子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_450.png,黑云母花岗岩中的金红石背散射电子图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_342.png,群之间的角度不整合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_366.png,部分侵入体岩石显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1922.png,滑移带内元素强度分布图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1618.png,沉积岩野外及显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_809.png,典型蚀变矿化显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1102.png,矽卡岩和矿石的显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1713.png,表性矿物显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1481.png,玄武岩的野外剖面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_993.png,锆石阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_350.png,岩样品中锆石的阴极发光图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1341.png,岩石的手标本及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_218.png,橄榄石变形后试件的扫描电镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1362.png,砂岩胶结物镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1887.png,岩体样品显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_806.png,矿石显微特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_433.png,脉系的照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_582.png,韧性剪切带宏观变形特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1230.png,样品的元素面扫描图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_916.png,岩组变质岩的正交偏光镜下特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_674.png,榴辉岩帘石族矿物的图像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
